CustomerNo ,AVGCREDIT,TOTALCREDIT,AVGDEBIT,TOTALDEBIT
117,318729.36,45.0,-168.13,-71009.182
118,1564684.0,-130435.15,-1565221.82,0.0
119,318729.36,4.0,-168.13,-1565221.82
120,1564684.0,32038.182,-5917.43,-1565221.82
121,318729.36,4.0,-351959.58,-1565221.82
122,1564684.0,32038.182,-351959.58,-4223515.01
123,318729.36,-130435.15,-1565221.82,-4223515.01
124,2669.85,4.0,-1565221.82,-71009.182
125,318729.36,-130435.15,-1565221.82,-71009.182
126,0.33,45.0,0.0,-4223515.01
127,3.75,3824752.28,-351959.58,-2017.6
128,318729.36,45.0,-168.13,-71009.182
129,3.75,32038.182,-5917.43,-2017.6
130,318729.36,32038.182,-1565221.82,-4223515.01
131,2669.85,3824752.28,-1565221.82,0.0
132,0.33,45.0,-1565221.82,-4223515.01
133,3.75,-130435.15,-168.13,-4223515.01
134,318729.36,3824752.28,-351959.58,-2017.6
135,318729.36,4.0,0.0,-4223515.01
136,318729.36,45.0,0.0,-71009.182
137,318729.36,45.0,-168.13,-71009.182
138,318729.36,32038.182,0.0,-71009.182
139,2669.85,45.0,-351959.58,-4223515.01
140,1564684.0,3824752.28,-351959.58,-2017.6
141,2669.85,4.0,-1565221.82,0.0
142,2669.85,3824752.28,0.0,-2017.6
143,1564684.0,32038.182,0.0,-71009.182
144,1564684.0,3824752.28,-351959.58,-2017.6
145,318729.36,4.0,-168.13,-2017.6
146,0.33,-130435.15,-168.13,-4223515.01
147,1564684.0,3824752.28,-1565221.82,0.0
148,318729.36,32038.182,0.0,-2017.6
149,1564684.0,45.0,-5917.43,-71009.182
150,0.33,3824752.28,0.0,-71009.182
151,1564684.0,32038.182,0.0,-71009.182
152,0.33,-130435.15,-168.13,-4223515.01
153,318729.36,32038.182,-1565221.82,-4223515.01
154,0.33,4.0,-5917.43,-1565221.82
155,1564684.0,4.0,0.0,-4223515.01
156,1564684.0,-130435.15,-1565221.82,-2017.6
157,318729.36,32038.182,0.0,-71009.182
158,2669.85,45.0,-1565221.82,-1565221.82
159,0.33,45.0,-1565221.82,-1565221.82
160,318729.36,32038.182,0.0,-71009.182
161,318729.36,45.0,-351959.58,-4223515.01
162,1564684.0,3824752.28,-351959.58,-2017.6
163,1564684.0,3824752.28,-351959.58,-2017.6
164,1564684.0,3824752.28,-351959.58,-2017.6
165,1564684.0,32038.182,-351959.58,-4223515.01
166,0.33,3824752.28,0.0,-4223515.01
167,2669.85,45.0,-351959.58,-4223515.01
168,1564684.0,3824752.28,-168.13,-2017.6
169,0.33,3824752.28,0.0,0.0
170,318729.36,32038.182,0.0,-71009.182
171,0.33,3824752.28,0.0,-71009.182
172,3.75,45.0,-168.13,-71009.182
173,0.33,3824752.28,0.0,-2017.6
174,1564684.0,32038.182,-351959.58,-4223515.01
175,3.75,32038.182,-5917.43,-2017.6
176,3.75,32038.182,0.0,-2017.6
177,1564684.0,3824752.28,-351959.58,-2017.6
178,318729.36,32038.182,0.0,-71009.182
179,0.33,45.0,-1565221.82,-1565221.82
180,0.33,32038.182,-5917.43,-2017.6
181,318729.36,45.0,-168.13,-1565221.82
182,318729.36,3824752.28,-351959.58,-2017.6
183,3.75,32038.182,-5917.43,-71009.182
184,1564684.0,45.0,-5917.43,-71009.182
185,318729.36,-130435.15,-1565221.82,-4223515.01
186,318729.36,4.0,-168.13,-4223515.01
187,318729.36,32038.182,-351959.58,-4223515.01
188,1564684.0,3824752.28,-351959.58,-2017.6
189,3.75,32038.182,0.0,-71009.182
190,2669.85,3824752.28,-5917.43,-71009.182
191,3.75,45.0,-168.13,-71009.182
192,3.75,32038.182,0.0,-71009.182
193,1564684.0,3824752.28,-351959.58,-2017.6
194,1564684.0,3824752.28,-1565221.82,0.0
195,318729.36,45.0,-351959.58,-4223515.01
196,3.75,45.0,-168.13,-71009.182
197,3.75,32038.182,0.0,-2017.6
198,0.33,45.0,-351959.58,-4223515.01
199,2669.85,3824752.28,-1565221.82,-1565221.82
200,3.75,32038.182,0.0,-2017.6
201,318729.36,32038.182,0.0,-71009.182
202,2669.85,3824752.28,0.0,0.0
203,3.75,45.0,-168.13,-1565221.82
204,0.33,32038.182,-5917.43,-1565221.82
205,0.33,3824752.28,0.0,-2017.6
206,318729.36,32038.182,-5917.43,-1565221.82
207,318729.36,32038.182,0.0,-71009.182
208,318729.36,4.0,-168.13,0.0
209,1564684.0,32038.182,-1565221.82,-4223515.01
210,1564684.0,45.0,-5917.43,-71009.182
211,3.75,32038.182,0.0,-71009.182
212,318729.36,-130435.15,-1565221.82,-71009.182
213,3.75,45.0,-168.13,-71009.182
214,0.33,-130435.15,-168.13,-1565221.82
215,1564684.0,32038.182,0.0,-71009.182
216,3.75,32038.182,0.0,-71009.182
217,2669.85,45.0,-351959.58,-4223515.01
218,318729.36,4.0,-168.13,-1565221.82
219,1564684.0,3824752.28,-351959.58,-2017.6
220,318729.36,32038.182,-1565221.82,-4223515.01
221,1564684.0,3824752.28,-351959.58,-2017.6
222,3.75,-130435.15,-168.13,-4223515.01
223,1564684.0,3824752.28,-351959.58,-2017.6
224,3.75,45.0,-168.13,-71009.182
225,1564684.0,45.0,-1565221.82,-1565221.82
226,318729.36,4.0,-351959.58,-71009.182
227,3.75,32038.182,0.0,-71009.182
228,1564684.0,3824752.28,-351959.58,-2017.6
229,1564684.0,3824752.28,-168.13,0.0
230,3.75,32038.182,-5917.43,-2017.6
231,3.75,32038.182,-5917.43,-2017.6
232,318729.36,-130435.15,-1565221.82,-71009.182
233,0.33,45.0,-1565221.82,-4223515.01
234,3.75,32038.182,0.0,-71009.182
235,2669.85,45.0,-1565221.82,-1565221.82
236,2669.85,3824752.28,-1565221.82,-1565221.82
237,318729.36,32038.182,-351959.58,-4223515.01
238,3.75,32038.182,-5917.43,-2017.6
239,318729.36,45.0,-351959.58,-4223515.01
240,1564684.0,3824752.28,-351959.58,-2017.6
241,0.33,45.0,-351959.58,-4223515.01
242,318729.36,3824752.28,-351959.58,-2017.6
243,0.33,45.0,0.0,-71009.182
244,1564684.0,3824752.28,-351959.58,-2017.6
245,2669.85,3824752.28,-1565221.82,-1565221.82
246,318729.36,-130435.15,-1565221.82,-4223515.01
247,3.75,32038.182,0.0,-71009.182
248,0.33,3824752.28,0.0,0.0
249,318729.36,4.0,-351959.58,-1565221.82
250,2669.85,4.0,-168.13,-4223515.01
251,1564684.0,3824752.28,-351959.58,-2017.6
252,1564684.0,3824752.28,-1565221.82,-1565221.82
253,1564684.0,45.0,-5917.43,-71009.182
254,1564684.0,3824752.28,-351959.58,-2017.6
255,0.33,32038.182,-351959.58,-4223515.01
256,318729.36,-130435.15,-1565221.82,-71009.182
257,318729.36,32038.182,0.0,-71009.182
258,1564684.0,3824752.28,-351959.58,-2017.6
259,3.75,32038.182,-5917.43,-2017.6
260,3.75,4.0,0.0,-4223515.01
261,0.33,45.0,-1565221.82,-1565221.82
262,0.33,45.0,-351959.58,-4223515.01
263,1564684.0,3824752.28,-351959.58,-2017.6
264,318729.36,3824752.28,-1565221.82,-1565221.82
265,1564684.0,3824752.28,-351959.58,-2017.6
266,3.75,32038.182,-5917.43,-71009.182
267,318729.36,45.0,-351959.58,-4223515.01
268,0.33,45.0,-351959.58,-4223515.01
269,318729.36,32038.182,-1565221.82,-4223515.01
270,1564684.0,3824752.28,-351959.58,-2017.6
271,1564684.0,3824752.28,-351959.58,-2017.6
272,3.75,4.0,0.0,-4223515.01
273,1564684.0,45.0,-5917.43,-71009.182
274,3.75,32038.182,0.0,-71009.182
275,1564684.0,3824752.28,-168.13,0.0
276,1564684.0,32038.182,0.0,-71009.182
277,1564684.0,3824752.28,-351959.58,-2017.6
278,318729.36,32038.182,-351959.58,-4223515.01
279,1564684.0,-130435.15,-1565221.82,0.0
280,3.75,32038.182,0.0,-2017.6
281,1564684.0,3824752.28,-351959.58,-2017.6
282,318729.36,4.0,-168.13,-1565221.82
283,0.33,3824752.28,0.0,-71009.182
284,3.75,3824752.28,-351959.58,-2017.6
285,0.33,3824752.28,0.0,-71009.182
286,1564684.0,3824752.28,-351959.58,-2017.6
287,318729.36,-130435.15,-1565221.82,-2017.6
288,318729.36,4.0,-168.13,-2017.6
289,318729.36,3824752.28,-351959.58,-2017.6
290,2669.85,4.0,-1565221.82,-71009.182
291,0.33,3824752.28,0.0,-2017.6
292,1564684.0,3824752.28,-351959.58,-2017.6
293,3.75,32038.182,0.0,-71009.182
294,318729.36,4.0,-351959.58,-1565221.82
295,3.75,32038.182,0.0,-2017.6
296,0.33,3824752.28,0.0,-4223515.01
297,1564684.0,3824752.28,-351959.58,-2017.6
298,1564684.0,-130435.15,-1565221.82,-71009.182
299,1564684.0,3824752.28,-168.13,-2017.6
300,1564684.0,32038.182,0.0,-2017.6
301,1564684.0,45.0,-5917.43,-71009.182
302,3.75,45.0,-168.13,-71009.182
303,0.33,3824752.28,0.0,-2017.6
304,2669.85,3824752.28,-5917.43,-2017.6
305,3.75,32038.182,-5917.43,-2017.6
306,0.33,3824752.28,0.0,-2017.6
307,0.33,3824752.28,0.0,-4223515.01
308,1564684.0,3824752.28,-351959.58,-2017.6
309,0.33,3824752.28,0.0,-2017.6
310,1564684.0,32038.182,-351959.58,-4223515.01
311,0.33,45.0,-1565221.82,-71009.182
312,0.33,3824752.28,0.0,-71009.182
313,0.33,32038.182,-5917.43,-71009.182
314,318729.36,32038.182,-1565221.82,-4223515.01
315,3.75,32038.182,0.0,-2017.6
316,2669.85,3824752.28,-1565221.82,0.0
317,318729.36,32038.182,0.0,-2017.6
318,1564684.0,3824752.28,-351959.58,-2017.6
319,1564684.0,32038.182,0.0,-2017.6
320,3.75,32038.182,-5917.43,-2017.6
321,0.33,3824752.28,0.0,-4223515.01
322,0.33,-130435.15,-168.13,-4223515.01
323,3.75,45.0,-168.13,-71009.182
324,3.75,32038.182,0.0,-71009.182
325,318729.36,45.0,-168.13,-71009.182
326,318729.36,32038.182,0.0,-71009.182
327,318729.36,45.0,-168.13,-71009.182
328,3.75,-130435.15,-168.13,-4223515.01
329,2669.85,45.0,-1565221.82,-1565221.82
330,3.75,32038.182,-5917.43,-71009.182
331,1564684.0,32038.182,0.0,-2017.6
332,0.33,-130435.15,-168.13,-4223515.01
333,318729.36,3824752.28,-351959.58,-2017.6
334,1564684.0,3824752.28,-351959.58,-2017.6
335,1564684.0,3824752.28,-351959.58,-2017.6
336,3.75,32038.182,0.0,-71009.182
337,2669.85,32038.182,-1565221.82,-4223515.01
338,318729.36,4.0,-351959.58,-1565221.82
339,3.75,32038.182,-1565221.82,-4223515.01
340,2669.85,45.0,-168.13,-71009.182
341,3.75,45.0,-168.13,-71009.182
342,318729.36,4.0,-351959.58,-1565221.82
343,0.33,3824752.28,0.0,-2017.6
344,1564684.0,3824752.28,-351959.58,-2017.6
345,0.33,4.0,-168.13,0.0
346,318729.36,32038.182,0.0,-71009.182
347,3.75,32038.182,-5917.43,-4223515.01
348,318729.36,3824752.28,-5917.43,-71009.182
349,1564684.0,45.0,-5917.43,-71009.182
350,318729.36,45.0,-351959.58,-4223515.01
351,0.33,45.0,-351959.58,-4223515.01
352,2669.85,45.0,-351959.58,-4223515.01
353,318729.36,32038.182,-351959.58,-4223515.01
354,318729.36,45.0,-168.13,-71009.182
355,318729.36,32038.182,0.0,-2017.6
356,3.75,45.0,-168.13,-71009.182
357,0.33,4.0,-168.13,-1565221.82
358,2669.85,45.0,-351959.58,-4223515.01
359,1564684.0,3824752.28,-351959.58,-2017.6
360,3.75,32038.182,-5917.43,-2017.6
361,1564684.0,45.0,-5917.43,-71009.182
362,318729.36,32038.182,-5917.43,-1565221.82
363,318729.36,32038.182,0.0,-71009.182
364,1564684.0,45.0,-5917.43,-71009.182
365,318729.36,32038.182,-5917.43,-71009.182
366,1564684.0,32038.182,-5917.43,-2017.6
367,2669.85,3824752.28,-1565221.82,-1565221.82
368,1564684.0,3824752.28,-351959.58,-2017.6
369,318729.36,32038.182,0.0,-71009.182
370,318729.36,4.0,-168.13,-2017.6
371,3.75,32038.182,0.0,-71009.182
372,1564684.0,32038.182,0.0,-71009.182
373,318729.36,-130435.15,-1565221.82,-71009.182
374,3.75,32038.182,-1565221.82,-4223515.01
375,0.33,-130435.15,-168.13,-1565221.82
376,1564684.0,32038.182,-5917.43,-2017.6
377,1564684.0,-130435.15,-1565221.82,-71009.182
378,318729.36,4.0,-351959.58,-1565221.82
379,318729.36,4.0,-351959.58,-1565221.82
380,1564684.0,32038.182,-351959.58,-4223515.01
381,318729.36,-130435.15,0.0,-4223515.01
382,1564684.0,3824752.28,-351959.58,-2017.6
383,318729.36,4.0,0.0,-4223515.01
384,1564684.0,32038.182,0.0,-71009.182
385,1564684.0,3824752.28,-351959.58,-2017.6
386,1564684.0,3824752.28,-168.13,-2017.6
387,0.33,3824752.28,0.0,-2017.6
388,318729.36,-130435.15,-1565221.82,0.0
389,2669.85,45.0,-1565221.82,-4223515.01
390,0.33,4.0,0.0,-4223515.01
391,2669.85,45.0,-351959.58,-4223515.01
392,3.75,3824752.28,-351959.58,-2017.6
393,1564684.0,32038.182,0.0,-71009.182
394,0.33,3824752.28,0.0,-71009.182
395,1564684.0,-130435.15,-5917.43,-2017.6
396,2669.85,45.0,-168.13,-71009.182
397,2669.85,45.0,-351959.58,-4223515.01
398,0.33,3824752.28,0.0,-2017.6
399,3.75,32038.182,-5917.43,-71009.182
400,2669.85,45.0,-168.13,-71009.182
401,1564684.0,32038.182,-351959.58,-1565221.82
402,0.33,3824752.28,0.0,0.0
403,1564684.0,3824752.28,-351959.58,-2017.6
404,1564684.0,3824752.28,-351959.58,-2017.6
405,318729.36,3824752.28,-1565221.82,0.0
406,3.75,32038.182,-5917.43,-71009.182
407,3.75,32038.182,-5917.43,-1565221.82
408,318729.36,32038.182,-351959.58,-4223515.01
409,0.33,3824752.28,0.0,0.0
410,0.33,45.0,-351959.58,-4223515.01
411,2669.85,3824752.28,-1565221.82,0.0
412,0.33,45.0,0.0,-4223515.01
413,3.75,32038.182,-5917.43,-2017.6
414,3.75,45.0,-168.13,-71009.182
415,3.75,32038.182,-1565221.82,-4223515.01
416,0.33,4.0,-5917.43,-71009.182
417,0.33,4.0,-1565221.82,0.0
418,0.33,32038.182,-5917.43,-1565221.82
419,318729.36,3824752.28,-351959.58,-2017.6
420,1564684.0,3824752.28,-351959.58,-2017.6
421,1564684.0,3824752.28,-351959.58,-2017.6
422,2669.85,4.0,-1565221.82,-71009.182
423,0.33,45.0,-351959.58,-4223515.01
424,318729.36,3824752.28,-351959.58,-2017.6
425,318729.36,45.0,-168.13,-71009.182
426,1564684.0,3824752.28,-351959.58,-2017.6
427,0.33,45.0,-1565221.82,-71009.182
428,1564684.0,32038.182,0.0,-2017.6
429,3.75,45.0,-168.13,-71009.182
430,3.75,32038.182,0.0,-2017.6
431,318729.36,32038.182,0.0,-71009.182
432,3.75,32038.182,-5917.43,-2017.6
433,318729.36,45.0,-168.13,-71009.182
434,318729.36,4.0,-168.13,0.0
435,2669.85,4.0,-1565221.82,0.0
436,318729.36,4.0,-351959.58,-1565221.82
437,3.75,4.0,0.0,-4223515.01
438,318729.36,32038.182,-351959.58,-1565221.82
439,2669.85,4.0,-351959.58,-1565221.82
440,2669.85,4.0,-1565221.82,0.0
441,1564684.0,45.0,-5917.43,-71009.182
442,1564684.0,3824752.28,-351959.58,-2017.6
443,0.33,45.0,-1565221.82,-1565221.82
444,3.75,4.0,0.0,-4223515.01
445,3.75,32038.182,-5917.43,-1565221.82
446,1564684.0,3824752.28,-351959.58,-2017.6
447,1564684.0,3824752.28,-351959.58,-2017.6
448,1564684.0,32038.182,-1565221.82,-4223515.01
449,1564684.0,32038.182,-5917.43,-2017.6
450,3.75,32038.182,-5917.43,-2017.6
451,1564684.0,32038.182,-351959.58,-4223515.01
452,3.75,4.0,0.0,-4223515.01
453,0.33,4.0,0.0,-4223515.01
454,1564684.0,3824752.28,-351959.58,-2017.6
455,3.75,32038.182,0.0,-71009.182
456,318729.36,32038.182,0.0,-71009.182
457,0.33,3824752.28,0.0,-2017.6
458,1564684.0,4.0,0.0,-4223515.01
459,1564684.0,3824752.28,-351959.58,-2017.6
460,3.75,32038.182,-1565221.82,-4223515.01
461,2669.85,45.0,-1565221.82,-4223515.01
462,2669.85,4.0,-1565221.82,-71009.182
463,1564684.0,4.0,0.0,-4223515.01
464,3.75,32038.182,0.0,-71009.182
465,0.33,-130435.15,-168.13,-4223515.01
466,2669.85,32038.182,-168.13,-2017.6
467,3.75,3824752.28,-351959.58,-2017.6
468,1564684.0,45.0,-1565221.82,-1565221.82
469,3.75,32038.182,0.0,-71009.182
470,318729.36,-130435.15,-1565221.82,-71009.182
471,1564684.0,45.0,-5917.43,-71009.182
472,318729.36,32038.182,0.0,-2017.6
473,1564684.0,32038.182,0.0,-71009.182
474,1564684.0,32038.182,0.0,-2017.6
475,1564684.0,3824752.28,-351959.58,-2017.6
476,318729.36,32038.182,0.0,-71009.182
477,1564684.0,32038.182,-5917.43,-1565221.82
478,1564684.0,3824752.28,-351959.58,-2017.6
479,2669.85,3824752.28,-1565221.82,0.0
480,0.33,3824752.28,0.0,-4223515.01
481,3.75,3824752.28,-351959.58,-2017.6
482,0.33,3824752.28,0.0,-71009.182
483,2669.85,3824752.28,-1565221.82,0.0
484,0.33,45.0,-351959.58,-4223515.01
485,318729.36,-130435.15,-1565221.82,-71009.182
486,2669.85,32038.182,-168.13,-2017.6
487,1564684.0,32038.182,-5917.43,-2017.6
488,1564684.0,3824752.28,-1565221.82,0.0
489,318729.36,32038.182,0.0,-2017.6
490,3.75,45.0,-168.13,-71009.182
491,318729.36,32038.182,-351959.58,-4223515.01
492,1564684.0,32038.182,-1565221.82,-4223515.01
493,2669.85,45.0,-351959.58,-4223515.01
494,318729.36,3824752.28,-1565221.82,0.0
495,3.75,32038.182,0.0,-2017.6
496,318729.36,32038.182,0.0,-2017.6
497,2669.85,3824752.28,-1565221.82,0.0
498,3.75,32038.182,0.0,-71009.182
499,318729.36,3824752.28,-5917.43,-71009.182
500,3.75,32038.182,0.0,-71009.182
501,2669.85,3824752.28,-5917.43,-4223515.01
502,318729.36,45.0,-351959.58,-4223515.01
503,1564684.0,3824752.28,-351959.58,-2017.6
504,3.75,32038.182,0.0,-71009.182
505,1564684.0,3824752.28,-351959.58,-2017.6
506,1564684.0,3824752.28,-351959.58,-2017.6
507,0.33,3824752.28,0.0,-2017.6
508,3.75,32038.182,0.0,-2017.6
509,2669.85,45.0,-351959.58,-4223515.01
510,0.33,4.0,0.0,-4223515.01
511,3.75,32038.182,-5917.43,-2017.6
512,1564684.0,3824752.28,-168.13,-2017.6
513,318729.36,45.0,-168.13,-71009.182
514,318729.36,3824752.28,-351959.58,-2017.6
515,318729.36,4.0,-351959.58,-1565221.82
516,3.75,32038.182,-5917.43,-2017.6
517,3.75,4.0,0.0,-4223515.01
518,318729.36,45.0,-351959.58,-4223515.01
519,1564684.0,32038.182,-351959.58,-1565221.82
520,318729.36,-130435.15,-1565221.82,-71009.182
521,3.75,32038.182,-5917.43,-2017.6
522,0.33,45.0,-1565221.82,-71009.182
523,318729.36,4.0,-351959.58,-1565221.82
524,0.33,3824752.28,0.0,-2017.6
525,2669.85,3824752.28,-5917.43,-2017.6
526,318729.36,-130435.15,-5917.43,-2017.6
527,1564684.0,3824752.28,-351959.58,-2017.6
528,0.33,3824752.28,0.0,-4223515.01
529,2669.85,32038.182,-1565221.82,-4223515.01
530,0.33,3824752.28,0.0,0.0
531,3.75,32038.182,-5917.43,-2017.6
532,318729.36,4.0,-351959.58,-1565221.82
533,3.75,32038.182,-5917.43,-71009.182
534,3.75,32038.182,-5917.43,-2017.6
535,0.33,45.0,-1565221.82,-1565221.82
536,318729.36,32038.182,-1565221.82,-4223515.01
537,318729.36,45.0,-168.13,-71009.182
538,318729.36,3824752.28,-1565221.82,0.0
539,1564684.0,32038.182,-351959.58,-1565221.82
540,0.33,45.0,0.0,0.0
541,318729.36,-130435.15,-1565221.82,-71009.182
542,318729.36,4.0,0.0,-4223515.01
543,318729.36,3824752.28,-351959.58,-2017.6
544,1564684.0,3824752.28,-351959.58,-2017.6
545,0.33,3824752.28,0.0,-4223515.01
546,318729.36,3824752.28,-5917.43,-71009.182
547,1564684.0,-130435.15,-1565221.82,-2017.6
548,318729.36,45.0,0.0,-71009.182
549,3.75,32038.182,-5917.43,-2017.6
550,1564684.0,3824752.28,-351959.58,-2017.6
551,0.33,32038.182,-5917.43,-71009.182
552,2669.85,3824752.28,-1565221.82,0.0
553,318729.36,4.0,-351959.58,-1565221.82
554,318729.36,4.0,-351959.58,-1565221.82
555,0.33,45.0,-1565221.82,-1565221.82
556,3.75,3824752.28,-351959.58,-2017.6
557,2669.85,32038.182,-1565221.82,-4223515.01
558,318729.36,32038.182,-351959.58,-4223515.01
559,1564684.0,3824752.28,-351959.58,-2017.6
560,318729.36,32038.182,-351959.58,-4223515.01
561,0.33,3824752.28,0.0,-4223515.01
562,1564684.0,4.0,-168.13,-71009.182
563,1564684.0,3824752.28,-351959.58,-2017.6
564,318729.36,-130435.15,-1565221.82,-71009.182
565,1564684.0,3824752.28,-168.13,-2017.6
566,318729.36,4.0,-351959.58,-1565221.82
567,1564684.0,3824752.28,-1565221.82,0.0
568,1564684.0,-130435.15,-1565221.82,-2017.6
569,1564684.0,45.0,-5917.43,-71009.182
570,1564684.0,3824752.28,-351959.58,-2017.6
571,0.33,3824752.28,0.0,-2017.6
572,3.75,32038.182,0.0,-71009.182
573,2669.85,32038.182,-1565221.82,-4223515.01
574,1564684.0,45.0,-1565221.82,-1565221.82
575,3.75,32038.182,-1565221.82,-4223515.01
576,0.33,32038.182,-351959.58,-4223515.01
577,1564684.0,32038.182,-1565221.82,-4223515.01
578,2669.85,4.0,-1565221.82,0.0
579,1564684.0,32038.182,-351959.58,-4223515.01
580,0.33,32038.182,-5917.43,-2017.6
581,318729.36,3824752.28,-351959.58,-2017.6
582,2669.85,4.0,-1565221.82,0.0
583,0.33,3824752.28,0.0,-71009.182
584,318729.36,4.0,-351959.58,-1565221.82
585,3.75,32038.182,-5917.43,-2017.6
