"CUSTOMERNO","CATEGORY","INTERESTED","SUBCATEGORY"
5498392,DepositProduct,Y,FixedDeposit
4200042,DepositProduct,N,FixedDeposit
1396737,RecommendedProduct,N,HealthInsurance
4519181,PaymentProduct,Y,POS
4781423,RecommendedProduct,Y,HealthInsurance
4762796,DepositProduct,Y,FixedDeposit
2298996,AlternateIncomeProduct,Y,SGB
4896960,AdvanceProduct,Y,JewelLoan
5132953,RecommendedProduct,Y,LifeInsurance
4233913,RecommendedProduct,Y,FixedDeposit
5380949,AdvanceProduct,Y,JewelLoan
4385334,AlternateIncomeProduct,Y,HealthInsurance
4517662,AdvanceProduct,Y,JewelLoan
1899960,RecommendedProduct,Y,HealthInsurance
3245496,RecommendedProduct,Y,FixedDeposit
1028723,AdvanceProduct,Y,JewelLoan
3890978,AdvanceProduct,N,JewelLoan
6227803,RecommendedProduct,Y,LifeInsurance
3932373,RecommendedProduct,Y,HealthInsurance
6052616,DepositProduct,Y,CA
3095104,DepositProduct,N,RecurringDeposit
2002201,RecommendedProduct,N,LifeInsurance
3805988,AlternateIncomeProduct,Y,LifeInsurance
2003010,DepositProduct,Y,FixedDeposit
5555818,PaymentProduct,Y,BharatUPIQR
3147446,AlternateIncomePro,N,DEMAT
4798543,AlternateIncomeProduct,Y,HealthInsurance
2350346,DepositProduct,N,SB
4963184,AdvanceProduct,Y,JewelLoan
3456842,RecommendedProduct,Y,LifeInsurance
2256258,AdvanceProduct,Y,TermLoan
1654086,RecommendedProduct,Y,LifeInsurance
5497887,AdvanceProduct,Y,TermLoan
3388626,AdvanceProduct,N,SwayamGraha
5489851,RecommendedProduct,Y,SB
1211752,AdvanceProduct,Y,JewelLoan
5579388,AlternateIncomeProduct,Y,SGB
2298729,RecommendedProduct,Y,LifeInsurance
5645116,AlternateIncomeProduct,Y,HealthInsurance
1209017,DepositProduct,N,FixedDeposit
3646586,DepositProduct,N,RecurringDeposit
4930698,AdvanceProduct,Y,JewelLoan
144667,RecommendedProduct,Y,HealthInsurance
4187513,RecommendedProduct,Y,SB
4328742,AdvanceProduct,Y,JewelLoan
6010959,DepositProduct,Y,CA
6206213,RecommendedProduct,Y,HealthInsurance
2153859,DepositProduct,Y,FixedDeposit
2425535,RecommendedProduct,N,MutualFund
4661199,AlternateIncomeProduct,Y,HealthInsurance
1075342,DepositProduct,Y,RecurringDeposit
6193265,AlternateIncomePro,N,HealthInsurance
132504,AlternateIncomeProduct,Y,Locker
4394562,DepositProduct,Y,FixedDeposit
2171882,AlternateIncomePro,N,LifeInsurance
3092155,RecommendedProduct,Y,FixedDeposit
5566953,RecommendedProduct,Y,FixedDeposit
5528132,RecommendedProduct,Y,SB
853845,DigitalOtherProduc,Y,NetBanking
4065225,DepositProduct,N,SB
2200941,AlternateIncomePro,N,LifeInsurance
6200609,AdvanceProduct,Y,JewelLoan
6240372,AdvanceProduct,Y,JewelLoan
1249731,AlternateIncomePro,N,GeneralInsurance
5785829,AdvanceProduct,Y,OverDraftOLCC
6102751,AdvanceProduct,Y,JewelLoan
2037835,AlternateIncomeProduct,Y,LifeInsurance
2233483,AdvanceProduct,N,JewelLoan
5854424,RecommendedProduct,Y,GeneralInsurance
6018609,PaymentProduct,Y,Fastag
89139,DepositProduct,Y,FixedDeposit
3609408,AdvanceProduct,Y,JewelLoan
2557429,AlternateIncomePro,N,GeneralInsurance
5196162,DepositProduct,Y,RecurringDeposit
865658,AdvanceProduct,Y,JewelLoan
5838349,AdvanceProduct,Y,DharaniSpecial
4909839,DepositProduct,Y,CA
5314188,undefined,Y,undefined
6220821,RecommendedProduct,Y,SB
1864917,RecommendedProduct,N,LifeInsurance
5968565,DepositProduct,Y,SB
5001444,DepositProduct,Y,CA
2274132,AlternateIncomePro,Y,HealthInsurance
615646,AlternateIncomeProduct,Y,MutualFund
4047001,DepositProduct,Y,FixedDeposit
5061868,AdvanceProduct,N,JewelLoan
2766316,RecommendedProduct,Y,LifeInsurance
6307235,AlternateIncomePro,N,Locker
6021421,AdvanceProduct,Y,JewelLoan
3178853,DepositProduct,Y,RecurringDeposit
4788143,AdvanceProduct,N,OverDraftOLCC
2687750,RecommendedProduct,Y,HealthInsurance
908808,DepositProduct,Y,FixedDeposit
2415349,DepositProduct,N,FixedDeposit
5313696,AlternateIncomePro,N,LifeInsurance
2405099,DepositProduct,Y,CA
2466075,DepositProduct,Y,SB
3055513,DepositProduct,Y,SB
2320959,AdvanceProduct,N,JewelLoan
1024256,DepositProduct,Y,FixedDeposit
4363570,PaymentProduct,Y,BharatUPIQR
706273,AdvanceProduct,Y,JewelLoan
5503920,AdvanceProduct,Y,TermLoan
1244859,DepositProduct,Y,FixedDeposit
743544,AdvanceProduct,Y,JewelLoan
3881807,AdvanceProduct,N,JewelLoan
5466051,DepositProduct,N,SB
3201785,DepositProduct,N,FixedDeposit
4752131,AlternateIncomeProduct,Y,SGB
6279774,RecommendedProduct,Y,LifeInsurance
6154833,RecommendedProduct,Y,HealthInsurance
5826414,DepositProduct,Y,SB
6588192,AdvanceProduct,Y,JewelLoan
518409,AlternateIncomePro,N,HealthInsurance
6068382,AdvanceProduct,Y,JewelLoan
145021,RecommendedProduct,Y,HealthInsurance
6191893,DepositProduct,Y,CA
4068180,DepositProduct,Y,FixedDeposit
3287522,RecommendedProduct,Y,TermLoan
5470326,AlternateIncomePro,N,HealthInsurance
988858,AlternateIncomeProduct,Y,HealthInsurance
1571091,DepositProduct,Y,CA
1473531,AdvanceProduct,N,OverDraftOLCC
4483850,AdvanceProduct,Y,JewelLoan
914943,RecommendedProduct,Y,undefined
4905325,AlternateIncomePro,N,LifeInsurance
6199106,AlternateIncomeProduct,N,LifeInsurance
3746817,DepositProduct,N,FixedDeposit
5828474,DepositProduct,N,FixedDeposit
2346822,AdvanceProduct,Y,SwayamGraha
6199621,RecommendedProduct,Y,LifeInsurance
5562209,RecommendedProduct,Y,LifeInsurance
6147295,RecommendedProduct,N,SB
6086813,DepositProduct,Y,SB
337875,RecommendedProduct,Y,LifeInsurance
5535589,AdvanceProduct,Y,JewelLoan
4294609,DepositProduct,Y,RecurringDeposit
4903368,AdvanceProduct,Y,JewelLoan
591372,RecommendedProduct,Y,HealthInsurance
6556793,DepositProduct,Y,SB
6198949,RecommendedProduct,Y,LifeInsurance
5707668,DepositProduct,N,FixedDeposit
3046619,AdvanceProduct,N,TermLoan
5566977,AdvanceProduct,N,JewelLoan
4186416,AdvanceProduct,Y,JewelLoan
6165798,AlternateIncomePro,N,LifeInsurance
3024237,AdvanceProduct,Y,OverDraftOLCC
1010585,AlternateIncomePro,Y,HealthInsurance
4455566,RecommendedProduct,Y,MutualFund
6561809,AdvanceProduct,Y,JewelLoan
6211200,DepositProduct,N,RecurringDeposit
1657691,AlternateIncomePro,N,LifeInsurance
474133,AdvanceProduct,Y,JewelLoan
4255105,AlternateIncomePro,N,Locker
762478,AdvanceProduct,Y,JewelLoan
5809494,RecommendedProduct,Y,HealthInsurance
6186508,AdvanceProduct,Y,JewelLoan
5192973,AdvanceProduct,Y,SwayamGraha
776357,DepositProduct,N,CA
5314124,RecommendedProduct,N,LifeInsurance
4089088,DepositProduct,Y,SB
3039233,AdvanceProduct,N,OverDraftOLCC
3934127,DepositProduct,Y,FixedDeposit
1133464,DepositProduct,Y,FixedDeposit
429776,DepositProduct,N,FixedDeposit
1437402,RecommendedProduct,Y,LifeInsurance
5665817,AlternateIncomePro,Y,HealthInsurance
5857087,DepositProduct,Y,CA
1133671,RecommendedProduct,Y,HealthInsurance
6025406,AdvanceProduct,Y,SwayamGraha
6401060,DepositProduct,Y,FixedDeposit
314689,AdvanceProduct,N,JewelLoan
5142617,AdvanceProduct,N,JewelLoan
4447873,DepositProduct,N,FixedDeposit
5490846,AlternateIncomeProduct,Y,HealthInsurance
4985554,RecommendedProduct,Y,FixedDeposit
5124641,AlternateIncomePro,Y,HealthInsurance
3869957,AdvanceProduct,Y,JewelLoan
135932,PaymentProduct,Y,POS
5930810,AdvanceProduct,N,JewelLoan
136739,AlternateIncomePro,N,LifeInsurance
1111096,AlternateIncomePro,Y,MutualFund
5821452,PaymentProduct,Y,POS
5332064,DepositProduct,Y,FixedDeposit
331317,DepositProduct,Y,SB
6306102,AdvanceProduct,Y,JewelLoan
5588739,DepositProduct,N,SB
4948218,DepositProduct,Y,FixedDeposit
4631334,DepositProduct,Y,SB
603012,DepositProduct,N,SB
6422376,DepositProduct,Y,FixedDeposit
2189443,DepositProduct,N,FixedDeposit
841564,DepositProduct,N,FixedDeposit
4929836,AdvanceProduct,Y,JewelLoan
5749923,AdvanceProduct,Y,JewelLoan
5136794,AlternateIncomeProduct,Y,HealthInsurance
5674252,AlternateIncomePro,N,HealthInsurance
2624682,AdvanceProduct,Y,JewelLoan
4413859,RecommendedProduct,N,HealthInsurance
3160149,AdvanceProduct,N,TermLoan
5517313,DepositProduct,Y,SB
5859814,AlternateIncomePro,N,LifeInsurance
977417,DepositProduct,N,SB
5993692,RecommendedProduct,Y,SB
893383,AlternateIncomeProduct,Y,HealthInsurance
6407582,DepositProduct,Y,FixedDeposit
2623456,RecommendedProduct,Y,LifeInsurance
2347979,AdvanceProduct,Y,TermLoan
1081110,RecommendedProduct,N,LifeInsurance
1143018,DigitalOtherProduct,Y,EmailUpdated
5653849,DepositProduct,Y,SB
1628575,AdvanceProduct,N,JewelLoan
4929598,RecommendedProduct,N,FixedDeposit
4771736,DigitalOtherProduct,Y,MobileBanking
5746292,undefined,Y,undefined
2637393,AdvanceProduct,Y,JewelLoan
3808994,RecommendedProduct,Y,HealthInsurance
5652070,RecommendedProduct,Y,HealthInsurance
4110627,AdvanceProduct,Y,JewelLoan
2506315,RecommendedProduct,Y,HealthInsurance
1234083,RecommendedProduct,Y,HealthInsurance
6110658,AdvanceProduct,Y,TermLoan
5405442,DepositProduct,N,SB
5851617,DigitalOtherProduct,Y,MobileBanking
2259226,AdvanceProduct,Y,TermLoan
1370632,RecommendedProduct,N,FixedDeposit
4135593,AdvanceProduct,Y,JewelLoan
2893370,undefined,Y,undefined
5702074,AdvanceProduct,N,OverDraftOLCC
1387413,DepositProduct,Y,FixedDeposit
2616861,DepositProduct,Y,SB
1984775,DepositProduct,Y,FixedDeposit
5372120,AdvanceProduct,Y,TermLoan
4294100,DepositProduct,Y,FixedDeposit
4742041,DepositProduct,Y,FixedDeposit
5869458,RecommendedProduct,Y,FixedDeposit
3253735,DepositProduct,Y,SB
6158366,AlternateIncomePro,N,HealthInsurance
5362699,undefined,Y,undefined
4017989,AdvanceProduct,Y,JewelLoan
3329133,AdvanceProduct,N,SwayamGraha
4730812,DepositProduct,Y,CA
1341964,DepositProduct,Y,FixedDeposit
3881419,DepositProduct,N,FixedDeposit
2996608,AdvanceProduct,N,TermLoan
4220527,AdvanceProduct,Y,JewelLoan
6152249,DigitalOtherProduc,Y,NetBanking
4214129,PaymentProduct,N,BharatUPIQR
6313730,DepositProduct,Y,CA
2480918,RecommendedProduct,Y,SB
5116776,DigitalOtherProduct,Y,MobileBanking
5556489,AlternateIncomePro,Y,LifeInsurance
3707244,DepositProduct,Y,SB
4551634,AdvanceProduct,Y,SwayamGraha
5435599,AdvanceProduct,Y,JewelLoan
4518004,RecommendedProduct,N,SB
3226564,DepositProduct,N,FixedDeposit
3111766,DepositProduct,N,FixedDeposit
6260587,DepositProduct,Y,FixedDeposit
1544272,DepositProduct,Y,CA
1380353,DepositProduct,Y,FixedDeposit
3962707,AdvanceProduct,Y,JewelLoan
4897559,RecommendedProduct,Y,SB
1897198,AlternateIncomeProduct,Y,LifeInsurance
6300135,AdvanceProduct,Y,JewelLoan
5672469,DepositProduct,Y,FixedDeposit
5318903,AlternateIncomePro,N,LifeInsurance
1754099,RecommendedProduct,N,HealthInsurance
5719659,DepositProduct,N,FixedDeposit
3462781,AlternateIncomeProduct,Y,LifeInsurance
2017099,RecommendedProduct,Y,HealthInsurance
743601,AdvanceProduct,Y,JewelLoan
6330554,AdvanceProduct,Y,JewelLoan
4331549,RecommendedProduct,Y,HealthInsurance
5297765,RecommendedProduct,Y,HealthInsurance
6312739,AdvanceProduct,Y,JewelLoan
5551463,RecommendedProduct,Y,LifeInsurance
3792443,DepositProduct,N,FixedDeposit
3126952,AdvanceProduct,N,TermLoan
3568716,DepositProduct,N,FixedDeposit
6077110,DepositProduct,N,CA
5793132,DepositProduct,N,FixedDeposit
3112656,PaymentProduct,Y,Fastag
2403063,DepositProduct,N,SB
1269775,AdvanceProduct,Y,JewelLoan
11233,undefined,Y,undefined
1383358,DepositProduct,Y,SB
4035271,AdvanceProduct,Y,TermLoan
3364406,DepositProduct,Y,FixedDeposit
6247927,AdvanceProduct,N,JewelLoan
6268899,DepositProduct,Y,FixedDeposit
741655,undefined,Y,undefined
4149480,AlternateIncomeProduct,Y,HealthInsurance
3137438,DepositProduct,N,FixedDeposit
135932,RecommendedProduct,Y,POS
3090083,DepositProduct,Y,FixedDeposit
5463725,AdvanceProduct,N,JewelLoan
132190,DepositProduct,Y,SB
4967209,AdvanceProduct,Y,JewelLoan
1115282,AlternateIncomePro,N,HealthInsurance
4339810,AlternateIncomePro,Y,HealthInsurance
3328572,RecommendedProduct,Y,SB
5460999,AdvanceProduct,Y,JewelLoan
3102377,AdvanceProduct,Y,JewelLoan
472472,DepositProduct,Y,FixedDeposit
3012779,AdvanceProduct,Y,JewelLoan
2406977,DigitalOtherProduct,Y,NetBanking
5987482,AdvanceProduct,Y,JewelLoan
1569300,DigitalOtherProduct,Y,NetBanking
3162423,AlternateIncomePro,N,GeneralInsurance
4786602,RecommendedProduct,Y,HealthInsurance
4797946,AdvanceProduct,Y,JewelLoan
3218212,AdvanceProduct,N,JewelLoan
3400958,DepositProduct,Y,CA
3778359,RecommendedProduct,Y,MutualFund
3675548,AdvanceProduct,Y,JewelLoan
1869089,AdvanceProduct,Y,TermLoan
295516,AdvanceProduct,N,TermLoan
1419658,AlternateIncomeProduct,Y,HealthInsurance
3158727,RecommendedProduct,Y,LifeInsurance
5272709,RecommendedProduct,N,LifeInsurance
3054147,DepositProduct,N,SB
3973513,DepositProduct,N,FixedDeposit
1921565,RecommendedProduct,Y,LifeInsurance
4280800,DigitalOtherProduct,Y,NetBanking
5861644,AdvanceProduct,N,JewelLoan
5835493,RecommendedProduct,N,HealthInsurance
4985554,AdvanceProduct,Y,JewelLoan
680831,DepositProduct,Y,FixedDeposit
1026243,DigitalOtherProduc,Y,MobileBanking
3690351,RecommendedProduct,N,TermLoan
5037443,RecommendedProduct,Y,LifeInsurance
4959012,DepositProduct,Y,SB
1363675,DepositProduct,Y,SB
5869390,AlternateIncomePro,N,LifeInsurance
6198417,RecommendedProduct,Y,HealthInsurance
4201647,AlternateIncomeProduct,Y,LifeInsurance
4915147,RecommendedProduct,Y,FixedDeposit
5390749,AdvanceProduct,N,OverDraftOLCC
5790439,RecommendedProduct,Y,LifeInsurance
77427,DepositProduct,Y,FixedDeposit
4896122,RecommendedProduct,Y,HealthInsurance
6336671,RecommendedProduct,Y,HealthInsurance
633031,RecommendedProduct,Y,LifeInsurance
5387957,AlternateIncomeProduct,Y,LifeInsurance
6505444,AdvanceProduct,Y,TermLoan
4424236,AdvanceProduct,Y,TermLoan
2329062,RecommendedProduct,Y,LifeInsurance
1378717,DepositProduct,Y,SB
1309138,RecommendedProduct,Y,HealthInsurance
2850592,RecommendedProduct,Y,HealthInsurance
5923275,DepositProduct,Y,FixedDeposit
5997205,AdvanceProduct,Y,JewelLoan
5764600,AdvanceProduct,Y,JewelLoan
5489503,DepositProduct,Y,FixedDeposit
5342664,AdvanceProduct,N,JewelLoan
6298633,RecommendedProduct,Y,FixedDeposit
771178,DepositProduct,Y,SB
4166483,DepositProduct,N,FixedDeposit
6211466,AlternateIncomeProduct,Y,GeneralInsurance
5127438,DepositProduct,Y,FixedDeposit
5860790,AlternateIncomePro,N,LifeInsurance
1076151,DepositProduct,Y,FixedDeposit
1361943,RecommendedProduct,Y,LifeInsurance
2093524,DepositProduct,N,FixedDeposit
2016877,AlternateIncomePro,N,LifeInsurance
5331829,DepositProduct,Y,SB
5654814,AdvanceProduct,N,OverDraftOLCC
2445410,AlternateIncomeProduct,Y,HealthInsurance
4233736,AlternateIncomePro,Y,HealthInsurance
4100760,DepositProduct,Y,FixedDeposit
4576698,DepositProduct,N,FixedDeposit
4818115,DepositProduct,Y,FixedDeposit
5391874,RecommendedProduct,Y,HealthInsurance
552530,DepositProduct,Y,FixedDeposit
3206175,RecommendedProduct,Y,LifeInsurance
198854,RecommendedProduct,Y,GeneralInsurance
835893,AdvanceProduct,Y,Yohavahana
2082803,AlternateIncomeProduct,Y,HealthInsurance
5657217,AdvanceProduct,Y,JewelLoan
4221325,DepositProduct,N,FixedDeposit
6330950,AdvanceProduct,Y,JewelLoan
1209648,RecommendedProduct,N,HealthInsurance
5693811,DepositProduct,Y,SB
4400296,AdvanceProduct,Y,TermLoan
4183972,AdvanceProduct,Y,OverDraftOLCC
4790994,AdvanceProduct,Y,JewelLoan
3226190,AlternateIncomePro,N,GeneralInsurance
4166735,AdvanceProduct,Y,JewelLoan
2550775,undefined,Y,undefined
5991334,AdvanceProduct,Y,DharaniSpecial
3000829,AdvanceProduct,Y,JewelLoan
4756409,AlternateIncomePro,N,GeneralInsurance
6276049,DepositProduct,N,SB
1875890,DepositProduct,Y,CA
3219885,AlternateIncomeProduct,Y,LifeInsurance
812376,AlternateIncomePro,N,HealthInsurance
4347548,DigitalOtherProduct,Y,EmailUpdated
720860,AdvanceProduct,Y,TermLoan
2034874,AlternateIncomePro,Y,LifeInsurance
5302591,AdvanceProduct,Y,OverDraftOLCC
4333125,AdvanceProduct,Y,JewelLoan
2581942,RecommendedProduct,Y,HealthInsurance
3232705,RecommendedProduct,Y,FixedDeposit
1872059,RecommendedProduct,Y,HealthInsurance
3682517,RecommendedProduct,Y,SB
2590761,AdvanceProduct,Y,JewelLoan
5934011,AlternateIncomePro,N,HealthInsurance
5066900,RecommendedProduct,Y,LifeInsurance
6144694,AdvanceProduct,Y,JewelLoan
6298249,RecommendedProduct,Y,HealthInsurance
5523843,AdvanceProduct,Y,OverDraftOLCC
612701,DepositProduct,Y,FixedDeposit
6112571,RecommendedProduct,Y,HealthInsurance
6197909,RecommendedProduct,Y,HealthInsurance
5078541,RecommendedProduct,N,LifeInsurance
3111809,DepositProduct,N,FixedDeposit
6295635,DepositProduct,Y,SB
5681028,PaymentProduct,Y,WhatsappBanking
5998933,DepositProduct,Y,CA
2665448,AlternateIncomePro,N,GeneralInsurance
5439491,AdvanceProduct,N,DharaniSpecial
1523678,AlternateIncomeProduct,Y,LifeInsurance
5405761,AlternateIncomeProduct,Y,SBICreditCard
6049490,AdvanceProduct,Y,JewelLoan
3522675,AlternateIncomePro,N,HealthInsurance
3238575,DepositProduct,Y,FixedDeposit
4887881,AdvanceProduct,Y,TermLoan
1091295,DepositProduct,N,FixedDeposit
4502545,DepositProduct,Y,FixedDeposit
313993,DepositProduct,N,FixedDeposit
5579425,AdvanceProduct,Y,OverDraftOLCC
610237,AlternateIncomeProduct,Y,HealthInsurance
2449772,AlternateIncomePro,N,LifeInsurance
4858005,AdvanceProduct,Y,JewelLoan
5864752,AlternateIncomePro,N,Locker
6184240,DepositProduct,N,SB
4527314,AdvanceProduct,Y,JewelLoan
6397213,AdvanceProduct,N,JewelLoan
4781081,AdvanceProduct,Y,JewelLoan
1750304,DigitalOtherProduct,Y,EmailUpdated
5762200,AdvanceProduct,Y,JewelLoan
3638620,DepositProduct,Y,CA
2296058,AlternateIncomePro,N,HealthInsurance
1102799,PaymentProduct,Y,Fastag
6366999,AdvanceProduct,Y,JewelLoan
3580303,DepositProduct,Y,SB
4143565,AdvanceProduct,Y,TermLoan
6267193,AdvanceProduct,Y,JewelLoan
5002648,RecommendedProduct,Y,HealthInsurance
3212805,RecommendedProduct,N,HealthInsurance
870131,AlternateIncomeProduct,Y,LifeInsurance
5630357,undefined,Y,undefined
3647804,AdvanceProduct,N,JewelLoan
5909801,RecommendedProduct,Y,LifeInsurance
